# Age_min    Age_max    SFR    err_SFR    SFR_times_area   err_SFR_times_area      Z       err_Z 
0.03   0.06    10.3337622284    1.72907574077    88621657.2111    14828438.4916    0.00962370234124    0.00475144234186 
0.06   0.0700000000001    8.63440905711    2.39779307407    74048117.4973    20563313.8422    0.0101733788072    0.00482267867943 
0.0700000000001   0.0799999999999    7.22474375774    2.57858184803    61958921.696    22113746.3371    0.0107685006703    0.00483183664308 
0.0799999999999   0.0900000000001    6.00328332156    2.46207084061    51483758.2773    21114555.6906    0.0114330159304    0.00472208947221 
0.0900000000001   0.1    4.88718169042    1.99274173566    41912144.9596    17089620.518    0.0121956772766    0.00447888094273 
0.1   0.15    3.87414605121    0.658037237792    33224418.7302    5643283.56223    0.01334482701    0.00361840034916 
0.15   0.18    3.60818675826    0.661676323126    30943569.5321    5674492.11589    0.0133893637186    0.00356443620039 
0.18   0.2    3.36494487307    0.656845614676    28857543.3113    5633064.28168    0.0134136118714    0.0036349507747 
0.2   0.22    3.1447884346    0.627835192109    26969496.3453    5384272.82825    0.0132548880506    0.00380613798048 
0.22   0.25    2.98131411627    0.592013469899    25567551.4697    5077068.12233    0.013002478536    0.00406493400256 
0.25   0.26    2.87855194276    0.599676288025    24686269.9079    5142783.94066    0.0125830965489    0.00437166218786 
0.26   0.28    2.84193184361    0.596139481908    24372218.3745    5112452.52676    0.0122830338249    0.00455864837734 
0.28   0.3    2.89223437207    0.62084285479    24803609.5113    5324307.00871    0.011851952614    0.00475879402687 
0.3   0.32    3.03676864473    0.648762090145    26043125.8155    5563740.51323    0.0112669224678    0.00488934925336 
0.32   0.34    3.23756961309    0.675711973874    27765181.5579    5794860.92271    0.0105849709137    0.00496173095988 
0.34   0.39    3.46206598884    0.655730939282    29690447.5372    5623504.89968    0.0101397333915    0.00490826985067 
0.39   0.419999999999    3.69125588958    0.688862618217    31655964.8745    5907639.97349    0.00974663278985    0.00492173033638 
0.419999999999   0.45    3.85554882335    0.671518513773    33064930.1417    5758898.08793    0.00921360788104    0.00486606540512 
0.45   0.48    3.92390837275    0.650644779516    33651177.0883    5579886.33199    0.00902373314213    0.00473118358949 
0.48   0.509999999999    3.89330723862    0.632226362447    33388743.7984    5421931.21286    0.00882476977273    0.00448107665929 
0.509999999999   0.599999999999    3.81978493275    0.535741912911    32758221.3958    4594486.99419    0.00867502060666    0.00424172809178 
0.599999999999   0.650000000001    3.66897654413    0.543022806108    31464898.6905    4656927.44975    0.00861889029523    0.00416341964648 
0.650000000001   0.7    3.61059033614    0.522841827507    30964182.4561    4483856.7202    0.00853638507342    0.00398213361599 
0.7   0.75    3.68145084412    0.57029754313    31571877.4571    4890833.77944    0.00843929070674    0.00383236774013 
0.75   0.8    3.93559561188    0.725179980167    33751406.0734    6219095.25283    0.0082627285594    0.00377773008698 
0.8   0.879999999999    4.25148249046    0.834079272674    36460430.9234    7153008.33867    0.0079951536615    0.00375802388004 
0.879999999999   0.940000000001    4.68686321336    0.87298369168    40194227.0306    7486650.04717    0.00776843333229    0.00349002737164 
0.940000000001   1.0    5.02128807045    0.817693751332    43062232.3507    7012487.19802    0.00754712610281    0.00330143953612 
1.0   1.06    5.22969852383    0.731017326052    44849546.5302    6269155.94269    0.00744793577953    0.00318930847648 
1.06   1.12    5.2139627406    0.709055627711    44714597.5003    6080813.87916    0.00742459294822    0.00315230813355 
1.12   1.18    5.07543668186    0.760895806899    43526607.2388    6525391.80617    0.00730987249431    0.00315140031798 
1.18   1.24    4.80407742411    0.783016001326    41199448.302    6715093.12159    0.00745686192599    0.00311982529538 
1.24   1.3    4.58720682361    0.753286450177    39339580.4637    6460134.46929    0.00768661720236    0.00309143510927 
1.3   1.36    4.38985243616    0.706274093985    37647082.3699    6056959.63102    0.00773000554915    0.0030991502946 
1.36   1.42    4.25557908264    0.718521438976    36495563.0253    6161992.04667    0.00762036873772    0.00308722149827 
1.42   1.48    4.1868687814    0.803210185474    35906308.0542    6888277.10103    0.00745059114007    0.00305182791408 
1.48   1.54    4.28523909729    0.852767198591    36749925.3372    7313274.74775    0.00719426068523    0.00304204270973 
1.54   1.6    4.33137975981    0.883758628127    37145624.5885    7579055.18512    0.00698578719955    0.00306965364591 
1.6   1.66    4.41708771757    0.923291374813    37880650.3309    7918085.38999    0.00679640041151    0.00312140549303 
1.66   1.72    4.56365742894    0.967569516015    39137622.4222    8297811.78246    0.00669914742651    0.00330700776257 
1.72   1.78    4.69301464361    0.996398897853    40246981.2871    8545050.64265    0.00670069445397    0.0035046323534 
1.78   1.84    4.70681294883    1.01649872769    40365314.6344    8717425.44578    0.00669267300558    0.00373378433145 
1.84   1.9    4.75364097173    1.00599512615    40766908.6426    8627347.25797    0.00687875113009    0.00391560120959 
1.9   1.96    4.76550235765    1.00584323827    40868631.0989    8626044.67757    0.00703123122487    0.00404643202294 
1.96   2.02    4.72840696623    0.984240330974    40550503.4906    8440779.58219    0.00706103675531    0.00403842441625 
2.02   2.08    4.68866851987    1.01735981737    40209709.2191    8724810.09361    0.0072122001434    0.00392812681984 
2.08   2.14    4.5987696872    1.02029735571    39438742.8125    8750002.22691    0.00720123116252    0.00380087227609 
2.14   2.2    4.43868656766    1.02978344958    38065880.632    8831354.33669    0.0071564211117    0.00361333865386 
2.2   2.26    4.19846475951    1.05161156626    36005754.3908    9018550.81277    0.00711666340368    0.00340735330611 
2.26   2.32    3.88274248764    1.09884710447    33298141.197    9423639.64519    0.00710858234872    0.00327134432771 
2.32   2.44    3.54554259366    1.02804640429    30406337.3452    8816457.55183    0.00705077582068    0.00323545356486 
2.44   2.52    3.28670065858    0.966042709327    28186526.1345    8284717.9899    0.00696840602301    0.00327227945257 
2.52   2.6    3.05009495098    0.894233671725    26157411.3311    7668888.46195    0.00700277893818    0.00350152420738 
2.6   2.68    2.89450150512    0.873716054125    24823052.2934    7492930.73876    0.0070597921252    0.00386291448702 
2.68   2.76    2.77735333799    0.870557086777    23818397.4077    7465839.645    0.00721146541135    0.00434234809988 
2.76   2.84    2.65392693762    0.850292564376    22759900.8115    7292052.44939    0.00755204813418    0.00480412731864 
2.84   2.92    2.38856171051    0.90390828606    20484146.2825    7751857.3107    0.00809060236306    0.00523629217196 
2.92   3.0    2.10549375392    0.937367562684    18056574.3236    8038801.84048    0.00867007887271    0.00559502522056 
3.0   3.08    1.7516481774    0.940174332838    15022018.206    8062872.51454    0.00915196383702    0.00578079708202 
3.08   3.16    1.42185372809    0.879992574752    12193722.9549    7546757.76199    0.00938443395579    0.00587339676404 
3.16   3.3    1.09837857384    0.740219838164    9419621.55771    6348076.07419    0.00942123016492    0.00580348910434 
3.3   3.4    0.86574065466    0.684861952613    7424534.24368    5873330.53149    0.00912940349783    0.00561131614552 
3.4   3.5    0.698533644501    0.630495242316    5990578.05134    5407085.24181    0.00803800392805    0.00532465592169 
3.5   3.6    0.621408766411    0.615409630974    5329160.22911    5277712.04282    0.00643538098949    0.00484241818125 
3.6   3.7    0.589153801289    0.609797879014    5052543.79463    5229586.03144    0.00531402500234    0.00405884303395 
3.7   3.8    0.626014143619    0.65313367442    5368655.63758    5601230.92906    0.00488417807152    0.00309062468435 
3.8   3.9    0.716746131035    0.687615703989    6146767.1239    5896946.52004    0.00469428737101    0.00281064900084 
3.9   4.0    0.780665375793    0.705341519515    6694934.31344    6048961.93442    0.00460634922218    0.00256445216199 
4.0   4.1    0.856652149663    0.72514161003    7346591.82961    6218766.19309    0.00451554609222    0.00247249805156 
4.1   4.2    0.914330556822    0.735517256693    7841238.0112    6307747.04842    0.00435717479814    0.00258984144403 
4.2   4.3    0.937077952173    0.804922812016    8036318.16001    6902964.47228    0.00403760837984    0.0025599956355 
4.3   4.4    0.9639650976    0.82697877441    8266900.52999    7092114.93806    0.00386096368114    0.00289892396421 
4.4   4.5    1.04543166535    0.876294809395    8965552.39381    7515045.97235    0.00380487427128    0.00296300352277 
4.5   4.6    1.11120992591    0.92114646444    9529662.37919    7899690.78137    0.00388303956106    0.00307366137731 
4.6   4.7    1.22913167056    0.977458349124    10540951.4142    8382617.75715    0.00405477295258    0.00320814265673 
4.7   4.79999999999    1.40359565659    1.04811257715    12037142.9487    8988543.71499    0.00414306001185    0.00340533927736 
4.79999999999   4.9    1.5394809354    1.07011012458    13202486.0573    9177193.21791    0.00432416410512    0.00348104149391 
4.9   5.0    1.62506070003    1.08403784313    13936412.4238    9296636.40541    0.00458403803348    0.00372539489354 
5.0   5.1    1.70658026953    1.08994153365    14635518.8272    9347266.06247    0.00481801789444    0.00392138940674 
5.1   5.20000000001    1.71183252818    1.09391976347    14680561.8478    9381383.09666    0.00490454468934    0.00401274358575 
5.20000000001   5.29999999999    1.60583884648    1.0456086572    13771567.0869    8967070.26418    0.00488322760857    0.0041246357203 
5.29999999999   5.4    1.48921407206    1.01156849299    12771400.7822    8675144.08107    0.00488893849175    0.00424543317642 
5.4   5.5    1.40945336927    0.968504500878    12087378.3028    8305830.15042    0.00489248732737    0.00419692427596 
5.5   5.6    1.31519892493    0.909947489564    11279058.4603    7803649.11806    0.00459233444524    0.0042082117405 
5.6   5.70000000001    1.24382049729    0.852864817925    10666921.8147    7314111.92465    0.00431570857624    0.00429904941235 
5.70000000001   5.92    1.23127364051    0.747742674048    10559320.8059    6412591.41412    0.00393879976307    0.00435421068055 
5.92   6.06    1.23671966848    0.770426581039    10606025.5794    6607127.09097    0.00336080082302    0.00433506649624 
6.06   6.20000000001    1.21016871338    0.776167305109    10378326.3553    6656359.15858    0.00292734632291    0.00444053770614 
6.20000000001   6.34    1.21056035752    0.786034698927    10381685.0693    6740981.27134    0.002769475325    0.00432765433176 
6.34   6.48    1.1956146729    0.796307310347    10253511.8726    6829078.50329    0.00263064089535    0.0041869368083 
6.48   6.67999999999    1.18090948865    0.822420170649    10127401.1911    7053020.65556    0.00254932319107    0.00402744471116 
6.67999999999   6.84000000001    1.14650484936    0.807887409522    9832349.294    6928388.66322    0.00249829709761    0.00399228356767 
6.84000000001   7.0    1.15204960443    0.793817799266    9879900.74448    6807728.62192    0.00236691872681    0.0037943055772 
7.0   7.15999999999    1.18046085404    0.79360081809    10123553.7305    6805867.8058    0.002340213611    0.0038183174237 
7.15999999999   7.32000000001    1.28609576715    0.822946378474    11029471.7159    7057533.37885    0.00233254094834    0.00383268185928 
7.32000000001   7.59999999999    1.39726854374    0.846833446136    11982882.0499    7262387.28155    0.00234005549147    0.0037833737569 
7.59999999999   7.79999999999    1.47262866137    0.839007915142    12629165.4039    7195276.0485    0.0022025352745    0.00369040334196 
7.79999999999   8.0    1.52808428294    0.848477062995    13104749.1242    7276482.83036    0.00205153125292    0.00370403354428 
8.0   8.20000000001    1.55411214698    0.864883213876    13327962.3542    7417180.88857    0.00197083704835    0.0036882137357 
8.20000000001   8.40000000001    1.51356678291    0.870737159444    12980248.0099    7467383.93621    0.00187885475574    0.00368798565951 
8.40000000001   8.59999999999    1.46610409049    0.833727062762    12573211.1182    7149987.8099    0.00181020008106    0.00371700109112 
8.59999999999   8.79999999999    1.351850773    0.869816839799    11593382.2704    7459491.33618    0.00181321944072    0.00377067643483 
8.79999999999   9.0    1.25443954079    0.875533241668    10757990.0252    7508514.81821    0.00185193964523    0.00370097004084 
9.0   9.20000000001    1.1870936469    0.842211099756    10180436.1207    7222746.34659    0.00185299922063    0.0035791531627 
9.20000000001   9.40000000001    1.11476918909    0.778799677541    9560186.38331    6678934.20939    0.00187984786607    0.00351445895813 
9.40000000001   9.59999999999    1.10194126407    0.809320959116    9450174.95198    6940682.68914    0.00187243283349    0.00344347887895 
9.59999999999   9.8    1.21246205258    0.818852959898    10397993.8797    7022428.49353    0.00177021192755    0.00331830283381 
9.8   10.0    1.30810792698    0.830401784265    11218246.5337    7121470.44279    0.00164629572591    0.00313235053153 
10.0   10.2    1.32047719341    0.821758631993    11324324.5395    7047347.34406    0.00159845209964    0.00295380914674 
10.2   10.4    1.40391238989    0.823279935322    12039859.2324    7060393.94018    0.00153320098513    0.00271108956573 
10.4   10.6    1.4102159028    0.759890340538    12093917.7397    6516768.99357    0.00144707622284    0.00250747251925 
10.6   10.8    1.34270170518    0.783344933435    11514920.4735    6717914.02147    0.00140940798703    0.00234465180659 
10.8   11.0    1.29561305548    0.785760389066    11111091.3472    6738628.80822    0.00137507909094    0.00216036275213 
11.0   11.2    1.33442441287    0.784732021506    11443934.9655    6729809.59646    0.00129086124014    0.00207603653708 
11.2   11.4    1.33049185365    0.772954542758    11410209.5993    6628806.72245    0.0011833747545    0.00197841942825 
11.4   11.6    1.39016715116    0.750397198669    11921980.9797    6435356.44063    0.00106372566013    0.00186538304704 
11.6   11.8    1.63766285822    0.830995669923    14044487.6939    7126563.56668    0.000941013436419    0.0022393738816 
11.8   12.0    1.90435083043    0.892873764811    16331585.9968    7657225.99076    0.000893330298968    0.00241896349409 
12.0   12.2    2.09414627633    0.884593035526    17959259.1109    7586211.00745    0.000858019016741    0.00250913501886 
12.2   12.4    2.20195332626    0.840049269007    18883805.197    7204206.62994    0.000838826448857    0.00272356242791 
12.4   12.6    2.23430952936    0.824747390492    19161289.8417    7072978.73807    0.000800671509181    0.00315981506999 
12.6   12.8    2.45800889353    0.955901307985    21079720.7028    8197746.00685    0.00078730429903    0.00468416921782 
12.8   13.0    2.58850812578    0.978361894917    22198873.4345    8390366.50574    0.00081258908252    0.00584756579481 
13.0   13.2    2.80567418093    1.01133797487    24061275.0721    8673167.173    0.000795677650653    0.00677823848864 
13.2   13.4    3.16940488128    1.00492235644    27180605.3539    8618147.25633    0.000793441406615    0.00739826542382 
13.4   13.9    3.65649155143    1.07213688937    31357828.224    9194574.61793    0.000853607008137    0.0079275820058 
