Cluster,[Fe/H],sigma_[Fe/H],log(Age),sigma_log(Age),Reference,Notes
NGC 2209,-0.5,0.1,9.08,0.03,Kerber et al. (2007), sdotsdotsdot 
NGC 2210,-1.75,0.1,10.13,0.1,Hill et al. (2000),ehi
NGC 2213,-0.7,0.1,9.23,0.04,Kerber et al. (2007),e
NGC 2214,-0.2,0.2,8,0,Sagar & Richtler (1991),c
NGC 2249,-0.45,0.1,9.35,0.03,Kerber et al. (2007), sdotsdotsdot 
NGC 2257,-1.63,0.21,10.2,0.1,Dirsch et al. (2000), sdotsdotsdot 
NGC 2213 ,-0.7,0.1,9.23,0.04,Kerber et al. (2007),e
NGC 2214,-0.2,0.2,8,0,Sagar & Richtler (1991),c
NGC 2249,-0.45,0.1,9.35,0.03,Kerber et al. (2007),sdotsdotsdot
NGC 2257,-1.63,0.21,10.2,0.1,Dirsch et al. (2000),sdotsdotsdot 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
