# Age_min    Age_max    SFR    err_SFR    SFR_times_area   err_SFR_times_area      Z       err_Z 
0.03   0.06    0.551904400698    0.230875265786    4077456.42003    1705700.90312    0.0124952598213    0.00538396012136 
0.06   0.0700000000001    0.473288537006    0.218681366072    3496644.3125    1615612.66572    0.0126115581935    0.00538734568076 
0.0700000000001   0.08    0.397727347497    0.190357380415    2938400.06426    1406355.74185    0.0128594184884    0.00523945092012 
0.08   0.0900000000001    0.348448856595    0.186553838348    2574331.76032    1378255.26466    0.0134592780826    0.00507549424534 
0.0900000000001   0.1    0.304174384366    0.159107280421    2247233.02582    1175480.75574    0.0144535333104    0.00476845841785 
0.1   0.15    0.26720577479    0.109075847256    1974109.82864    805849.732491    0.0149365334742    0.00410216880336 
0.15   0.18    0.293772966672    0.135700687999    2170387.60241    1002553.41466    0.0148644908948    0.00375897608299 
0.18   0.2    0.35025794294    0.186679484131    2587697.24666    1379183.53269    0.0146640210863    0.00361306310633 
0.2   0.22    0.414881659327    0.23808506709    3065135.7069    1758966.74151    0.0140317359467    0.00364976467198 
0.22   0.25    0.506029346912    0.29152048434    3738532.62753    2153746.31719    0.0136904713341    0.00390367343364 
0.25   0.26    0.628126976931    0.427423784348    4640586.97746    3157796.62449    0.0126921694814    0.0043155350393 
0.26   0.28    0.734307617035    0.445902330196    5425046.98924    3294315.67617    0.0124315079639    0.00436572064615 
0.28   0.3    0.824159167184    0.442937177723    6088868.07772    3272409.20111    0.0120680552809    0.00456994722776 
0.3   0.32    0.921388234191    0.428269025112    6807194.08305    3164041.24289    0.011848443671    0.00484376507879 
0.32   0.34    0.997735733633    0.395337553356    7371247.57014    2920744.3227    0.0117277285902    0.00510676151356 
0.34   0.39    1.04970388661    0.291921705904    7755187.03272    2156710.53244    0.011748188285    0.0051942300847 
0.39   0.42    1.10673875391    0.279282651431    8176559.25866    2063333.5024    0.0114517953296    0.00524570307424 
0.42   0.45    1.1389906187    0.278373050179    8414835.25898    2056613.39026    0.0110853116331    0.00520407007294 
0.45   0.48    1.13584984651    0.28605029953    8391631.30965    2113332.72356    0.0108870631741    0.00509126969777 
0.48   0.51    1.11973194864    0.28445883776    8272552.6684    2101575.04233    0.0104657342065    0.00486596699193 
0.51   0.599999999999    1.10506759044    0.269321667388    8164212.74323    1989741.99219    0.0100978625549    0.00461867566544 
0.599999999999   0.650000000001    1.05975746209    0.274895580965    7829462.60621    2030921.93146    0.0100047201207    0.00461938758214 
0.650000000001   0.7    1.06111050171    0.283427593972    7839458.83036    2093956.23806    0.0097808570686    0.00465096447762 
0.7   0.75    1.10631036923    0.315004004998    8173394.36296    2327242.00222    0.00945057772605    0.00465866843328 
0.75   0.8    1.19756377499    0.351682218992    8847572.32694    2598219.76383    0.00918345047941    0.00463644307209 
0.8   0.88    1.29704300065    0.389084307266    9582522.4502    2874545.49119    0.0090475012289    0.00466986219327 
0.88   0.94    1.46056262156    0.417506323234    10790601.4712    3084526.66064    0.00875518258403    0.0044222731048 
